Root Word,Meaning,Word List,Examples,Pronunciation
"luc","light => ánh sáng; sáng rõ","lucid|illuminate|translucent|luminous|elucidate","Her explanation was lucid and direct. => Phần giải thích của cô ấy sáng rõ và trực tiếp.|Soft lamps illuminate the reading corner. => Đèn dịu nhẹ chiếu sáng góc đọc sách.","/luhk/"
"man","hand => tay; làm bằng tay","manual|manufacture|manage|manuscript|manipulate","Please read the manual before setup. => Hãy đọc sổ tay hướng dẫn trước khi cài đặt.|She can manage three projects at once. => Cô ấy có thể quản lý ba dự án cùng lúc.","/man/"
"mot","to move => di chuyển","motion|remote|promote|motor|motive","The camera records smooth motion at night. => Máy quay ghi lại chuyển động mượt vào ban đêm.|Great teachers promote active learning. => Giáo viên giỏi thúc đẩy việc học chủ động.","/moht/"
"loc","place => nơi chốn; đặt vào chỗ","local|locate|relocate|location|dislocate","Can you locate the file on the server? => Bạn có thể tìm vị trí tệp trên máy chủ không?|The company will relocate next year. => Công ty sẽ chuyển địa điểm vào năm sau.","/lohk/"
"cap","to take => lấy; nắm giữ","capture|capacity|caption|captive|recap","The reporter wrote a short caption for the photo. => Phóng viên viết một chú thích ngắn cho bức ảnh.|This hall has the capacity for two hundred guests. => Hội trường này có sức chứa hai trăm khách.","/kap/"
"fin","end => kết thúc; giới hạn","final|finish|define|infinite|refine","We need to finish the draft before noon. => Chúng ta cần hoàn thành bản nháp trước buổi trưa.|The team will refine the plan tomorrow. => Nhóm sẽ tinh chỉnh kế hoạch vào ngày mai.","/fin/"
"bio","life => sự sống","biology|biography|biodegradable|symbiotic|antibiotic","Biology explains how living systems work. => Sinh học giải thích cách các hệ sống hoạt động.|This bag is biodegradable and safer for the beach. => Chiếc túi này có thể phân hủy sinh học và an toàn hơn cho bãi biển.","/bai-oh/"
"geo","earth => đất; trái đất","geography|geology|geometry|geothermal|geopolitics","Geography helps students understand regions better. => Địa lý giúp học sinh hiểu các khu vực rõ hơn.|The town uses geothermal energy in winter. => Thị trấn sử dụng năng lượng địa nhiệt vào mùa đông.","/jee-oh/"
"photo","light => ánh sáng","photograph|photosynthesis|photocopy|photojournalism|photogenic","She took a photograph of the sunrise. => Cô ấy chụp một bức ảnh bình minh.|Plants use photosynthesis to make food. => Thực vật dùng quang hợp để tạo ra thức ăn.","/foh-toh/"
"tele","far => xa","telephone|television|teleport|telepathy|teleconference","I called my aunt by telephone last night. => Tôi đã gọi điện cho dì tối qua.|The team joined a teleconference from three cities. => Nhóm đã tham gia cuộc họp từ xa từ ba thành phố.","/tel-ee/"
"micro","small => nhỏ","microscope|microchip|microbiology|microeconomics|micromanage","A microscope reveals details the eye cannot see. => Kính hiển vi cho thấy những chi tiết mắt thường không thấy.|Try not to micromanage every small task. => Cố gắng đừng kiểm soát quá sát từng việc nhỏ.","/mai-kroh/"
"macro","large => lớn","macroeconomics|macronutrient|macrocycle|macroview|macrotrend","Macroeconomics studies the economy as a whole. => Kinh tế vĩ mô nghiên cứu toàn bộ nền kinh tế.|We need a macroview before choosing tactics. => Chúng ta cần cái nhìn tổng thể trước khi chọn chiến thuật.","/mak-roh/"
"auto","self => tự; tự động","automatic|autograph|autobiography|autopilot|autonomous","The doors open automatically at seven. => Cửa tự động mở lúc bảy giờ.|He asked the singer for an autograph. => Anh ấy xin chữ ký của ca sĩ.","/aw-toh/"
"hydro","water => nước","hydrate|hydrogen|hydroelectric|hydrology|dehydrate","Remember to hydrate during hot weather. => Hãy nhớ bổ sung nước khi trời nóng.|The region depends on hydroelectric power. => Khu vực này phụ thuộc vào điện thủy lực.","/hai-droh/"
"graph","to write => viết; ghi lại","graphic|autograph|paragraph|telegraph|graphology","Please add one more paragraph to the essay. => Hãy thêm một đoạn nữa vào bài luận.|She collected an autograph after the show. => Cô ấy xin một chữ ký sau buổi diễn.","/graf/"
"scope","to look => quan sát; soi","microscope|telescope|periscope|endoscope|kaleidoscope","The telescope showed the moon very clearly. => Kính thiên văn cho thấy mặt trăng rất rõ.|Doctors use an endoscope to look inside safely. => Bác sĩ dùng ống nội soi để quan sát bên trong an toàn.","/skohp/"
"phon","sound => âm thanh","phone|phonics|symphony|microphone|phonetic","Please speak into the microphone. => Hãy nói vào micro.|Phonics helps children connect letters and sounds. => Ngữ âm cơ bản giúp trẻ nối chữ cái với âm thanh.","/fohn/"
"chron","time => thời gian","chronology|chronicle|chronic|chronometer|anachronism","The article follows the chronology of the event. => Bài viết theo trình tự thời gian của sự kiện.|He kept a chronicle of the long journey. => Anh ấy lưu lại biên niên ký của chuyến đi dài.","/kron/"
"meter","measure => đo lường","thermometer|speedometer|barometer|diameter|meter","The thermometer showed a sudden drop. => Nhiệt kế cho thấy nhiệt độ giảm đột ngột.|Check the speedometer before entering the town. => Hãy kiểm tra đồng hồ tốc độ trước khi vào thị trấn.","/mee-ter/"
"cycle","circle => vòng; chu kỳ","bicycle|recycle|cyclical|motorcycle|cyclist","Many families recycle paper every week. => Nhiều gia đình tái chế giấy mỗi tuần.|The cyclist stopped for water near the hill. => Người đi xe đạp dừng lại uống nước gần con dốc.","/sai-kuhl/"
"path","feeling => cảm xúc; chịu đựng","empathy|sympathy|pathology|telepathy|apathetic","Good leaders show empathy in hard moments. => Người lãnh đạo tốt thể hiện sự đồng cảm trong lúc khó khăn.|I felt sympathy for the tired volunteer. => Tôi cảm thấy cảm thông cho tình nguyện viên mệt mỏi.","/path/"
"un","not => không; phủ định","unhappy|unlock|unclear|unknown|unfair","The instructions were unclear at first. => Hướng dẫn lúc đầu chưa rõ ràng.|Please unlock the door for the next group. => Hãy mở khóa cửa cho nhóm tiếp theo.","/uhn/"
"re","again => lại; lần nữa","rewrite|return|rebuild|review|reconnect","Please review this chapter again tonight. => Hãy xem lại chương này tối nay.|The town will rebuild after the storm. => Thị trấn sẽ xây dựng lại sau cơn bão.","/ree/"
"pre","before => trước","preview|prepare|predict|preheat|prehistoric","Please prepare your notes before class. => Hãy chuẩn bị ghi chú trước giờ học.|Preview the slides before the meeting starts. => Hãy xem trước các slide trước khi cuộc họp bắt đầu.","/pree/"
"sub","under => dưới; thấp hơn","subway|submarine|submerge|subtitle|substandard","We took the subway to the museum. => Chúng tôi đi tàu điện ngầm tới bảo tàng.|Please turn on subtitles for the film. => Hãy bật phụ đề cho bộ phim.","/suhb/"
"inter","between => giữa; liên kết","interact|international|interview|internet|interpersonal","Children learn when they interact with others. => Trẻ em học tốt khi chúng tương tác với người khác.|The team held an international call this morning. => Nhóm đã có một cuộc gọi quốc tế sáng nay.","/in-ter/"
"trans","across => qua; xuyên","transport|translate|transform|transmit|transparent","She can translate the email into Vietnamese. => Cô ấy có thể dịch email sang tiếng Việt.|Clear glass is almost transparent. => Kính trong gần như trong suốt.","/tranz/"
"anti","against => chống; đối lập","antibiotic|antiwar|antisocial|antivirus|antifreeze","The doctor prescribed an antibiotic for the infection. => Bác sĩ kê một loại kháng sinh cho tình trạng nhiễm trùng.|Install antivirus software before going online. => Hãy cài phần mềm chống virus trước khi lên mạng.","/an-tai/"
"mis","wrongly => sai; nhầm","mistake|misplace|mislead|misprint|misunderstand","I often misplace my keys on busy mornings. => Tôi thường để nhầm chìa khóa vào những sáng bận rộn.|Do not mislead customers with vague promises. => Đừng làm khách hàng hiểu sai bằng những lời hứa mơ hồ.","/mis/"
"over","too much => quá; vượt mức","overwork|overcook|overload|overthink|overpay","Try not to overthink every small detail. => Cố gắng đừng suy nghĩ quá mức về từng chi tiết nhỏ.|Adding too many files may overload the system. => Thêm quá nhiều tệp có thể làm hệ thống quá tải.","/oh-ver/"
"under","below => dưới; chưa đủ","underpaid|underline|underground|underestimate|undergo","Do not underestimate the time this task needs. => Đừng đánh giá thấp thời gian mà việc này cần.|Please underline the key words in blue. => Hãy gạch dưới các từ khóa bằng màu xanh.","/uhn-der/"
"tion","act or state => hành động; trạng thái","action|education|celebration|direction|translation","Education changes lives over time. => Giáo dục thay đổi cuộc sống theo thời gian.|We asked for clear direction before launch. => Chúng tôi yêu cầu định hướng rõ ràng trước khi ra mắt.","/-shuhn/"
"able","capable of => có thể; có khả năng","readable|portable|washable|predictable|reliable","The chart is readable even on a phone. => Biểu đồ vẫn dễ đọc ngay cả trên điện thoại.|We need a reliable partner for this project. => Chúng ta cần một đối tác đáng tin cậy cho dự án này.","/-uh-buhl/"
"ment","result or process => kết quả; quá trình","development|agreement|movement|improvement|achievement","Small daily practice leads to improvement. => Việc luyện tập nhỏ mỗi ngày dẫn đến sự tiến bộ.|The final agreement was signed at noon. => Thỏa thuận cuối cùng đã được ký vào buổi trưa.","/-ment/"
"ness","state of => trạng thái; tính chất","kindness|happiness|darkness|illness|awareness","Kindness can change the tone of a room. => Sự tử tế có thể thay đổi bầu không khí của cả căn phòng.|Public awareness grew after the campaign. => Nhận thức cộng đồng tăng lên sau chiến dịch.","/-nes/"
"ful","full of => đầy; có nhiều","helpful|careful|beautiful|powerful|hopeful","Thank you for your helpful feedback. => Cảm ơn bạn vì phản hồi hữu ích.|The team stayed hopeful after the first setback. => Cả nhóm vẫn giữ hy vọng sau trở ngại đầu tiên.","/-fuhl/"
"less","without => không có; thiếu","careless|endless|homeless|fearless|wireless","A careless mistake can delay the whole plan. => Một lỗi bất cẩn có thể làm chậm cả kế hoạch.|The new mouse works through a wireless connection. => Chuột mới hoạt động qua kết nối không dây.","/-lis/"
"ist","person who => người làm; người theo","artist|scientist|tourist|violinist|journalist","The journalist filed the story before midnight. => Nhà báo gửi bài trước nửa đêm.|A young scientist led the experiment. => Một nhà khoa học trẻ dẫn dắt thí nghiệm.","/-ist/"
"ous","full of => đầy; có tính","famous|dangerous|curious|generous|nervous","Children are naturally curious about insects. => Trẻ em vốn tò mò về côn trùng.|That road becomes dangerous after heavy rain. => Con đường đó trở nên nguy hiểm sau mưa lớn.","/-uhs/"
"ive","having the quality of => có tính; có đặc điểm","active|creative|productive|sensitive|expensive","Morning walks keep older adults active. => Đi bộ buổi sáng giúp người lớn tuổi năng động.|This studio is small but highly creative. => Phòng làm việc này nhỏ nhưng rất sáng tạo.","/-iv/"
"al","related to => thuộc về; liên quan đến","natural|personal|global|cultural|logical","We need a logical answer to the problem. => Chúng ta cần một câu trả lời hợp lý cho vấn đề.|Music plays an important cultural role here. => Âm nhạc giữ một vai trò văn hóa quan trọng ở đây.","/-uhl/"
